Volatility,3,Framework,2.9.0
PID,Process,Base,Size,Name,Path,LoadTime,File,output
504,csrss.exe,0x7ff605cb0000,0x7000,csrss.exe,C:\Windows\system32\csrss.exe,2024-09-17,22:13:15.000000,UTC,Disabled
504,csrss.exe,0x7ffa43730000,0x1f8000,-,-,2024-09-17,22:13:15.000000,UTC,Disabled
504,csrss.exe,0x7ffa40df0000,0x18000,CSRSRV.dll,C:\Windows\SYSTEM32\CSRSRV.dll,2024-09-17,22:13:15.000000,UTC,Disabled
504,csrss.exe,0x7ffa40dd0000,0x16000,basesrv.DLL,C:\Windows\system32\basesrv.DLL,2024-09-17,22:13:15.000000,UTC,Disabled
504,csrss.exe,0x7ffa40db0000,0x15000,winsrv.DLL,C:\Windows\system32\winsrv.DLL,2024-09-17,22:13:15.000000,UTC,Disabled
504,csrss.exe,0x7ffa41340000,0x2f6000,kernelbase.dll,C:\Windows\SYSTEM32\kernelbase.dll,2024-09-17,22:13:15.000000,UTC,Disabled
504,csrss.exe,0x7ffa42610000,0xbd000,kernel32.dll,C:\Windows\SYSTEM32\kernel32.dll,2024-09-17,22:13:16.000000,UTC,Disabled
504,csrss.exe,0x7ffa40d80000,0x23000,winsrvext.dll,C:\Windows\SYSTEM32\winsrvext.dll,2024-09-17,22:13:16.000000,UTC,Disabled
504,csrss.exe,0x7ffa41b30000,0x19e000,USER32.dll,C:\Windows\system32\USER32.dll,2024-09-17,22:13:16.000000,UTC,Disabled
504,csrss.exe,0x7ffa42830000,0x354000,combase.dll,C:\Windows\SYSTEM32\combase.dll,2024-09-17,22:13:16.000000,UTC,Disabled
504,csrss.exe,0x7ffa40fa0000,0x4e000,cfgmgr32.dll,C:\Windows\SYSTEM32\cfgmgr32.dll,2024-09-17,22:13:16.000000,UTC,Disabled
504,csrss.exe,0x7ffa42800000,0x2c000,GDI32.dll,C:\Windows\system32\GDI32.dll,2024-09-17,22:13:16.000000,UTC,Disabled
504,csrss.exe,0x7ffa40f70000,0x22000,win32u.dll,C:\Windows\system32\win32u.dll,2024-09-17,22:13:16.000000,UTC,Disabled
504,csrss.exe,0x7ffa41110000,0x100000,ucrtbase.dll,C:\Windows\SYSTEM32\ucrtbase.dll,2024-09-17,22:13:16.000000,UTC,Disabled
504,csrss.exe,0x7ffa41870000,0x126000,RPCRT4.dll,C:\Windows\system32\RPCRT4.dll,2024-09-17,22:13:16.000000,UTC,Disabled
504,csrss.exe,0x7ffa41640000,0x11a000,gdi32full.dll,C:\Windows\SYSTEM32\gdi32full.dll,2024-09-17,22:13:16.000000,UTC,Disabled
504,csrss.exe,0x7ffa412a0000,0x9d000,msvcp_win.dll,C:\Windows\system32\msvcp_win.dll,2024-09-17,22:13:16.000000,UTC,Disabled
504,csrss.exe,0x7ffa40d70000,0xd000,sxssrv.DLL,C:\Windows\system32\sxssrv.DLL,2024-09-17,22:13:16.000000,UTC,Disabled
504,csrss.exe,0x7ffa40ba0000,0xa2000,sxs.dll,C:\Windows\system32\sxs.dll,2024-09-17,22:13:19.000000,UTC,Disabled
504,csrss.exe,0x7ffa41210000,0x82000,bcryptPrimitives.dll,C:\Windows\SYSTEM32\bcryptPrimitives.dll,2024-09-17,22:13:19.000000,UTC,Disabled
504,csrss.exe,0x7ffa41760000,0x27000,Bcrypt.dll,C:\Windows\system32\Bcrypt.dll,2024-09-17,22:14:42.000000,UTC,Disabled
576,winlogon.exe,0x7ff7a4c90000,0xe3000,winlogon.exe,C:\Windows\system32\winlogon.exe,2024-09-17,22:13:16.000000,UTC,Disabled
576,winlogon.exe,0x7ffa43730000,0x1f8000,ntdll.dll,C:\Windows\SYSTEM32\ntdll.dll,2024-09-17,22:13:16.000000,UTC,Disabled
576,winlogon.exe,0x7ffa42610000,0xbd000,KERNEL32.DLL,C:\Windows\System32\KERNEL32.DLL,2024-09-17,22:13:16.000000,UTC,Disabled
576,winlogon.exe,0x7ffa41340000,0x2f6000,KERNELBASE.dll,C:\Windows\System32\KERNELBASE.dll,2024-09-17,22:13:16.000000,UTC,Disabled
576,winlogon.exe,0x7ffa41a00000,0x9e000,msvcrt.dll,C:\Windows\System32\msvcrt.dll,2024-09-17,22:13:16.000000,UTC,Disabled
576,winlogon.exe,0x7ffa42ba0000,0x9c000,sechost.dll,C:\Windows\System32\sechost.dll,2024-09-17,22:13:16.000000,UTC,Disabled
