Volatility,3,Framework,2.9.0
PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File,output
4,0,System,0x83859c868040,129,-,N/A,False,2024-09-17,22:12:55.000000,UTC,N/A,Disabled
92,4,Registry,0x83859c9a8040,4,-,N/A,False,2024-09-17,22:12:48.000000,UTC,N/A,Disabled
312,4,smss.exe,0x83859ce88080,2,-,N/A,False,2024-09-17,22:12:55.000000,UTC,N/A,Disabled
420,408,csrss.exe,0x83859cfbc080,10,-,0,False,2024-09-17,22:13:12.000000,UTC,N/A,Disabled
496,408,wininit.exe,0x8385a1cad080,1,-,0,False,2024-09-17,22:13:15.000000,UTC,N/A,Disabled
504,488,csrss.exe,0x8385a1cc0140,12,-,1,False,2024-09-17,22:13:15.000000,UTC,N/A,Disabled
576,488,winlogon.exe,0x8385a1a020c0,7,-,1,False,2024-09-17,22:13:16.000000,UTC,N/A,Disabled
632,496,services.exe,0x8385a1a0e080,7,-,0,False,2024-09-17,22:13:16.000000,UTC,N/A,Disabled
644,496,WerFault.exe,0x8385a1a79080,0,-,0,False,2024-09-17,22:13:17.000000,UTC,2024-09-17,22:15:11.000000,UTC,Disabled
672,496,lsass.exe,0x8385a1a7c080,8,-,0,False,2024-09-17,22:13:17.000000,UTC,N/A,Disabled
776,576,fontdrvhost.ex,0x8385a1b56140,5,-,1,False,2024-09-17,22:13:19.000000,UTC,N/A,Disabled
784,496,fontdrvhost.ex,0x8385a1d41140,5,-,0,False,2024-09-17,22:13:19.000000,UTC,N/A,Disabled
816,632,svchost.exe,0x8385a1d45240,13,-,0,False,2024-09-17,22:13:19.000000,UTC,N/A,Disabled
892,632,svchost.exe,0x8385a2a2e240,8,-,0,False,2024-09-17,22:13:20.000000,UTC,N/A,Disabled
972,576,dwm.exe,0x8385a2ac9080,16,-,1,False,2024-09-17,22:13:21.000000,UTC,N/A,Disabled
424,632,svchost.exe,0x8385a2b93200,58,-,0,False,2024-09-17,22:13:23.000000,UTC,N/A,Disabled
728,632,svchost.exe,0x8385a2ba6240,18,-,0,False,2024-09-17,22:13:23.000000,UTC,N/A,Disabled
628,632,svchost.exe,0x8385a2ba7300,13,-,0,False,2024-09-17,22:13:23.000000,UTC,N/A,Disabled
864,632,svchost.exe,0x8385a2ba5080,14,-,0,False,2024-09-17,22:13:23.000000,UTC,N/A,Disabled
1188,632,svchost.exe,0x8385a2e162c0,25,-,0,False,2024-09-17,22:13:24.000000,UTC,N/A,Disabled
1248,632,svchost.exe,0x8385a2e14080,2,-,0,False,2024-09-17,22:13:25.000000,UTC,N/A,Disabled
1388,632,svchost.exe,0x8385a2daa2c0,19,-,0,False,2024-09-17,22:13:26.000000,UTC,N/A,Disabled
1528,4,MemCompression,0x8385a120d040,34,-,N/A,False,2024-09-17,22:13:27.000000,UTC,N/A,Disabled
1828,632,svchost.exe,0x8385a2f3d300,9,-,0,False,2024-09-17,22:13:30.000000,UTC,N/A,Disabled
1900,632,svchost.exe,0x8385a2f6c2c0,3,-,0,False,2024-09-17,22:13:30.000000,UTC,N/A,Disabled
1908,632,svchost.exe,0x8385a2f6e080,4,-,0,False,2024-09-17,22:13:30.000000,UTC,N/A,Disabled
1932,632,svchost.exe,0x8385a2f72340,3,-,0,False,2024-09-17,22:13:30.000000,UTC,N/A,Disabled
2044,632,spoolsv.exe,0x8385a2faf340,7,-,0,False,2024-09-17,22:13:31.000000,UTC,N/A,Disabled
1224,632,svchost.exe,0x8385a30332c0,12,-,0,False,2024-09-17,22:13:31.000000,UTC,N/A,Disabled
2112,632,svchost.exe,0x8385a30f1200,11,-,0,False,2024-09-17,22:13:33.000000,UTC,N/A,Disabled
2192,632,MsMpEng.exe,0x8385a31f8240,26,-,0,False,2024-09-17,22:13:34.000000,UTC,N/A,Disabled
2472,632,svchost.exe,0x8385a324d080,7,-,0,False,2024-09-17,22:13:36.000000,UTC,N/A,Disabled
2652,632,SearchIndexer.,0x8385a333f240,16,-,0,False,2024-09-17,22:13:41.000000,UTC,N/A,Disabled
2180,424,sihost.exe,0x8385a34ef280,9,-,1,False,2024-09-17,22:13:43.000000,UTC,N/A,Disabled
488,632,svchost.exe,0x8385a34f12c0,9,-,1,False,2024-09-17,22:13:43.000000,UTC,N/A,Disabled
764,424,MicrosoftEdgeU,0x8385a34f6300,4,-,0,True,2024-09-17,22:13:43.000000,UTC,N/A,Disabled
1656,424,taskhostw.exe,0x8385a34f8300,7,-,1,False,2024-09-17,22:13:44.000000,UTC,N/A,Disabled
3156,576,userinit.exe,0x8385a3591340,0,-,1,False,2024-09-17,22:13:45.000000,UTC,2024-09-17,22:14:22.000000,UTC,Disabled
3200,3156,explorer.exe,0x8385a35c3300,65,-,1,False,2024-09-17,22:13:45.000000,UTC,N/A,Disabled
3368,632,svchost.exe,0x8385a38612c0,4,-,1,False,2024-09-17,22:13:47.000000,UTC,N/A,Disabled
3600,728,ctfmon.exe,0x8385a3949280,9,-,1,False,2024-09-17,22:13:49.000000,UTC,N/A,Disabled
3880,816,StartMenuExper,0x8385a3a36080,6,-,1,False,2024-09-17,22:13:53.000000,UTC,N/A,Disabled
4008,816,RuntimeBroker.,0x8385a3907080,1,-,1,False,2024-09-17,22:13:54.000000,UTC,N/A,Disabled
2608,816,SearchApp.exe,0x8385a3b89080,38,-,1,False,2024-09-17,22:13:56.000000,UTC,N/A,Disabled
4204,816,RuntimeBroker.,0x8385a411b2c0,6,-,1,False,2024-09-17,22:13:57.000000,UTC,N/A,Disabled
4940,816,RuntimeBroker.,0x8385a37dc080,4,-,1,False,2024-09-17,22:14:02.000000,UTC,N/A,Disabled
1172,816,TextInputHost.,0x8385a3dbd080,10,-,1,False,2024-09-17,22:14:08.000000,UTC,N/A,Disabled
4748,816,dllhost.exe,0x83859f370300,7,-,1,False,2024-09-17,22:14:11.000000,UTC,N/A,Disabled
4296,3200,SecurityHealth,0x83859f375080,1,-,1,False,2024-09-17,22:14:13.000000,UTC,N/A,Disabled
5144,632,SecurityHealth,0x83859cf0c240,9,-,0,False,2024-09-17,22:14:14.000000,UTC,N/A,Disabled
