Volatility,3,Framework,2.9.0
Offset,FileFullPath,File,output
0xd688a7c64000,Disabled
0xd688a7c56000,\REGISTRY\MACHINE\SYSTEM,Disabled
0xd688a7cee000,\REGISTRY\MACHINE\HARDWARE,Disabled
0xd688a94e8000,\SystemRoot\System32\Config\SECURITY,Disabled
0xd688a94ea000,\SystemRoot\System32\Config\SAM,Disabled
0xd688a94ca000,\SystemRoot\System32\Config\DEFAULT,Disabled
0xd688a94c8000,\SystemRoot\System32\Config\SOFTWARE,Disabled
0xd688abd2e000,\Device\HarddiskVolume1\Boot\BCD,Disabled
0xd688ab3e7000,\??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT,Disabled
0xd688ab514000,\??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT,Disabled
0xd688ab509000,\SystemRoot\System32\Config\BBI,Disabled
0xd688ac794000,\??\C:\Users\mubashir\ntuser.dat,Disabled
0xd688aca1c000,\??\C:\Users\mubashir\AppData\Local\Microsoft\Windows\UsrClass.dat,Disabled
0xd688ad299000,\??\C:\Windows\AppCompat\Programs\Amcache.hve,Disabled
0xd688ad5d1000,\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Windows.StartMenuExperienceHost_10.0.19041.3636_neutral_neutral_cw5n1h2txyewy\ActivationStore.dat,Disabled
0xd688ad31e000,\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\MicrosoftWindows.Client.CBS_1000.19053.1000.0_x64__cw5n1h2txyewy\ActivationStore.dat,Disabled
0xd688ad31a000,\??\C:\Users\mubashir\AppData\Local\Packages\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\Settings\settings.dat,Disabled
0xd688ad43f000,\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Windows.Search_1.14.10.19041_neutral_neutral_cw5n1h2txyewy\ActivationStore.dat,Disabled
0xd688ad831000,\??\C:\Users\mubashir\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\Settings\settings.dat,Disabled
0xd688adb0e000,\??\C:\Users\mubashir\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\Settings\settings.dat,Disabled
0xd688af354000,\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Windows.ShellExperienceHost_10.0.19041.3636_neutral_neutral_cw5n1h2txyewy\ActivationStore.dat,Disabled
0xd688ad9bf000,\??\C:\Users\mubashir\AppData\Local\Packages\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy\Settings\settings.dat,Disabled
0xd688ae47f000,\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.SkypeApp_14.53.77.0_x64__kzf8qxf38zg5c\ActivationStore.dat,Disabled
0xd688ae236000,\??\C:\Users\mubashir\AppData\Local\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\Settings\settings.dat,Disabled
0xd688abc2b000,\??\C:\Windows\System32\config\COMPONENTS,Disabled
0xd688b06c7000,\??\C:\Windows\System32\SMI\Store\Machine\SCHEMA.DAT,Disabled
