Volatility,3,Framework,2.9.0
Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0x71b770,UDPv4,10.0.2.15,63987,*,0,284,svchost.exe,2017-12-08,20:04:39.000000,UTC
0x36f2221,UDPv4,0.0.0.0,1279,*,0,-,-,-
0x189cc580,TCPv4,10.0.2.15,49819,198.189.255.155,80,ESTABLISHED,-,-,-
0x1dd9be40,UDPv4,0.0.0.0,3702,*,0,284,svchost.exe,2017-12-08,20:04:39.000000,UTC
0x208d5c58,TCPv4,0.0.0.0,49161,0.0.0.0,0,LISTENING,484,lsass.exe,N/A
0x25eb3f58,TCPv4,10.0.2.15,139,0.0.0.0,0,LISTENING,4,System,N/A
0x26f02de8,UDPv4,0.0.0.0,0,*,0,3768,FoxitReader.ex,2017-12-08,20:04:47.000000,UTC
0x3d894350,TCPv4,10.0.2.15,49466,131.253.33.200,443,ESTABLISHED,-,-,-
0x3dc36ca8,TCPv4,10.0.2.15,49711,13.115.208.177,443,CLOSE_WAIT,-,-,-
0x3dc5d588,TCPv4,10.0.2.15,49667,31.13.70.7,443,ESTABLISHED,-,-,-
0x3dcc0a38,TCPv4,10.0.2.15,49578,13.107.21.200,443,ESTABLISHED,-,-,-
0x3dcd4b68,TCPv4,10.0.2.15,49571,157.240.11.22,443,ESTABLISHED,-,-,-
0x3dd4dbc0,TCPv4,10.0.2.15,49614,173.241.250.143,443,CLOSE_WAIT,-,-,-
0x3dd4fc08,TCPv4,10.0.2.15,49832,98.138.49.44,443,ESTABLISHED,-,-,-
0x3dd56590,TCPv4,10.0.2.15,49777,95.211.80.227,80,ESTABLISHED,-,-,-
0x3dd85268,TCPv4,10.0.2.15,49317,114.112.66.44,443,CLOSE_WAIT,-,-,-
0x3ddcca18,TCPv4,10.0.2.15,49772,10.0.2.15,49768,ESTABLISHED,-,-,-
0x3ddfde50,TCPv4,0.0.0.0,8908,0.0.0.0,0,LISTENING,3964,ikuacc.exe,N/A
0x3ddff0e8,TCPv4,10.0.2.15,49783,0.0.0.0,0,LISTENING,4744,NestTrader.exe,N/A
0x3de44268,TCPv4,127.0.0.1,44430,127.0.0.1,49187,ESTABLISHED,-,-,-
0x3de4d008,TCPv4,10.0.2.15,49776,180.179.146.235,35025,ESTABLISHED,-,-,-
0x3de4e940,TCPv4,10.0.2.15,49775,204.102.114.42,80,ESTABLISHED,-,-,-
0x3de5c600,TCPv4,10.0.2.15,49796,180.179.146.235,35018,ESTABLISHED,-,-,-
0x3de62940,TCPv4,10.0.2.15,49781,216.58.193.200,80,ESTABLISHED,-,-,-
0x3de66348,TCPv4,10.0.2.15,49792,54.192.117.98,443,ESTABLISHED,-,-,-
0x3de66de8,TCPv4,10.0.2.15,49774,206.251.255.63,443,ESTABLISHED,-,-,-
0x3de72798,TCPv4,10.0.2.15,49793,173.194.203.154,443,ESTABLISHED,-,-,-
0x3dea1008,TCPv4,10.0.2.15,49790,216.58.193.206,443,ESTABLISHED,-,-,-
0x3deb6c20,TCPv4,10.0.2.15,49782,10.0.2.15,49786,ESTABLISHED,-,-,-
0x3dfb08c8,TCPv4,10.0.2.15,49346,66.102.255.32,443,CLOSED,-,-,-
0x3dfdb528,TCPv4,10.0.2.15,49785,0.0.0.0,0,LISTENING,4744,NestTrader.exe,N/A
0x3dfddb40,TCPv4,10.0.2.15,49787,54.192.117.98,80,CLOSE_WAIT,-,-,-
0x3e0022f0,TCPv4,0.0.0.0,6691,0.0.0.0,0,LISTENING,1600,AlibabaProtect,N/A
0x3e00ede8,TCPv4,10.0.2.15,49318,101.26.39.9,80,CLOSE_WAIT,-,-,-
0x3e016f58,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,708,svchost.exe,N/A
0x3e018ea0,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,708,svchost.exe,N/A
0x3e018ea0,TCPv6,::,135,::,0,LISTENING,708,svchost.exe,N/A
0x3e01bf58,TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,376,wininit.exe,N/A
0x3e01c2e8,TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,376,wininit.exe,N/A
0x3e01c2e8,TCPv6,::,49152,::,0,LISTENING,376,wininit.exe,N/A
0x3e02f350,TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,880,svchost.exe,N/A
0x3e03b560,TCPv4,127.0.0.1,49808,127.0.0.1,6691,CLOSED,-,-,-
0x3e051140,TCPv4,127.0.0.1,8088,0.0.0.0,0,LISTENING,864,ytbrowser.exe,N/A
0x3e0543c8,TCPv4,10.0.2.15,49248,47.89.67.205,443,CLOSED,-,-,-
0x3e067398,TCPv4,10.0.2.15,49629,14.128.26.212,443,CLOSE_WAIT,-,-,-
0x3e068008,TCPv4,10.0.2.15,49841,162.248.16.28,443,ESTABLISHED,-,-,-
0x3e06cb98,TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,880,svchost.exe,N/A
0x3e06cb98,TCPv6,::,49153,::,0,LISTENING,880,svchost.exe,N/A
0x3e06d108,TCPv4,10.0.2.15,49857,72.21.91.29,80,ESTABLISHED,-,-,-
0x3e094190,TCPv4,0.0.0.0,49154,0.0.0.0,0,LISTENING,1004,svchost.exe,N/A
0x3e094190,TCPv6,::,49154,::,0,LISTENING,1004,svchost.exe,N/A
0x3e0eef50,UDPv4,0.0.0.0,56799,*,0,4744,NestTrader.exe,2017-12-08,20:06:38.000000,UTC
0x3e10a4d8,TCPv4,0.0.0.0,49154,0.0.0.0,0,LISTENING,1004,svchost.exe,N/A
0x3e117df8,TCPv4,10.0.2.15,49802,0.0.0.0,0,LISTENING,4744,NestTrader.exe,N/A
0x3e13e590,TCPv4,10.0.2.15,49856,35.186.213.138,443,ESTABLISHED,-,-,-
0x3e146de8,TCPv4,10.0.2.15,49853,35.186.213.138,443,ESTABLISHED,-,-,-
0x3e191ae8,TCPv4,10.0.2.15,49768,10.0.2.15,49772,ESTABLISHED,-,-,-
0x3e19dcc8,UDPv4,0.0.0.0,5355,*,0,1164,svchost.exe,2017-12-08,20:04:38.000000,UTC
0x3e19dcc8,UDPv6,::,5355,*,0,1164,svchost.exe,2017-12-08,20:04:38.000000,UTC
0x3e1a1de8,TCPv4,127.0.0.1,49331,127.0.0.1,49330,ESTABLISHED,-,-,-
0x3e1c05f0,TCPv4,10.0.2.15,49811,157.240.11.36,443,ESTABLISHED,-,-,-
0x3e203ba0,TCPv4,10.0.2.15,49376,72.21.91.29,80,ESTABLISHED,-,-,-
0x3e20b350,UDPv4,0.0.0.0,3702,*,0,284,svchost.exe,2017-12-08,20:04:39.000000,UTC
0x3e20b350,UDPv6,::,3702,*,0,284,svchost.exe,2017-12-08,20:04:39.000000,UTC
0x3e20b920,UDPv4,0.0.0.0,3702,*,0,284,svchost.exe,2017-12-08,20:04:39.000000,UTC
0x3e20bbb0,UDPv4,0.0.0.0,3702,*,0,284,svchost.exe,2017-12-08,20:04:39.000000,UTC
0x3e20bbb0,UDPv6,::,3702,*,0,284,svchost.exe,2017-12-08,20:04:39.000000,UTC
0x3e226c68,UDPv4,10.0.2.15,1900,*,0,284,svchost.exe,2017-12-08,20:04:39.000000,UTC
0x3e23ce38,UDPv4,0.0.0.0,0,*,0,2728,svchost.exe,2017-12-08,20:04:39.000000,UTC
0x3e23ce38,UDPv6,::,0,*,0,2728,svchost.exe,2017-12-08,20:04:39.000000,UTC
0x3e23fd30,TCPv4,10.0.2.15,49557,199.187.116.90,443,CLOSE_WAIT,-,-,-
0x3e240008,UDPv6,::1,1900,*,0,284,svchost.exe,2017-12-08,20:04:39.000000,UTC
0x3e256008,UDPv6,fe80::a591:79e9:d953:3fcb,63985,*,0,284,svchost.exe,2017-12-08,20:04:39.000000,UTC
0x3e257e38,UDPv4,127.0.0.1,1900,*,0,284,svchost.exe,2017-12-08,20:04:39.000000,UTC
0x3e259878,TCPv4,10.0.2.15,49562,208.89.12.87,443,ESTABLISHED,-,-,-
0x3e25b548,UDPv4,0.0.0.0,0,*,0,2728,svchost.exe,2017-12-08,20:04:39.000000,UTC
0x3e260618,TCPv4,10.0.2.15,49306,47.89.67.228,443,CLOSED,-,-,-
0x3e263328,TCPv4,10.0.2.15,49838,34.214.97.210,443,ESTABLISHED,-,-,-
0x3e263980,TCPv4,10.0.2.15,49577,13.107.21.200,443,ESTABLISHED,-,-,-
0x3e263c40,TCPv4,10.0.2.15,49705,198.189.255.155,80,ESTABLISHED,-,-,-
0x3e272ae0,TCPv4,10.0.2.15,49554,34.193.167.244,443,ESTABLISHED,-,-,-
0x3e2d54e0,TCPv4,10.0.2.15,49799,10.0.2.15,49803,ESTABLISHED,-,-,-
