Volatility,3,Framework,2.9.0
PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File,output
4,0,System,0x84233ad8,78,652,N/A,False,2017-12-08,20:04:27.000000,UTC,N/A,Disabled
252,4,smss.exe,0x8e9f1660,2,29,N/A,False,2017-12-08,20:04:27.000000,UTC,N/A,Disabled
328,320,csrss.exe,0x85acb328,9,625,0,False,2017-12-08,20:04:27.000000,UTC,N/A,Disabled
376,320,wininit.exe,0x85b4a998,3,76,0,False,2017-12-08,20:04:27.000000,UTC,N/A,Disabled
384,368,csrss.exe,0x85b23030,8,1075,1,False,2017-12-08,20:04:27.000000,UTC,N/A,Disabled
424,368,winlogon.exe,0x85b532c8,4,111,1,False,2017-12-08,20:04:27.000000,UTC,N/A,Disabled
468,376,services.exe,0x85b65d28,12,249,0,False,2017-12-08,20:04:27.000000,UTC,N/A,Disabled
484,376,lsass.exe,0x85ad74a8,14,1037,0,False,2017-12-08,20:04:27.000000,UTC,N/A,Disabled
492,376,lsm.exe,0x85b84d28,11,172,0,False,2017-12-08,20:04:27.000000,UTC,N/A,Disabled
592,468,svchost.exe,0x85b81d28,12,383,0,False,2017-12-08,20:04:28.000000,UTC,N/A,Disabled
656,468,VBoxService.ex,0x85bf50c0,12,116,0,False,2017-12-08,20:04:28.000000,UTC,N/A,Disabled
708,468,svchost.exe,0x85c10448,10,361,0,False,2017-12-08,20:04:28.000000,UTC,N/A,Disabled
760,468,MsMpEng.exe,0x85c1dd28,34,576,0,False,2017-12-08,20:04:28.000000,UTC,N/A,Disabled
880,468,svchost.exe,0x85c79b08,23,487,0,False,2017-12-08,20:04:28.000000,UTC,N/A,Disabled
932,468,svchost.exe,0x851fb4c8,15,321,0,False,2017-12-08,20:04:29.000000,UTC,N/A,Disabled
972,468,svchost.exe,0x86558030,28,561,0,False,2017-12-08,20:04:29.000000,UTC,N/A,Disabled
1004,468,svchost.exe,0x8f5b5d28,42,1035,0,False,2017-12-08,20:04:29.000000,UTC,N/A,Disabled
1064,880,audiodg.exe,0x85cb2a80,9,148,0,False,2017-12-08,20:04:29.000000,UTC,N/A,Disabled
1164,468,svchost.exe,0x85c5e920,21,496,0,False,2017-12-08,20:04:30.000000,UTC,N/A,Disabled
1312,468,spoolsv.exe,0x85d11150,17,282,0,False,2017-12-08,20:04:30.000000,UTC,N/A,Disabled
1368,468,svchost.exe,0x85d29d28,22,330,0,False,2017-12-08,20:04:30.000000,UTC,N/A,Disabled
1420,468,taskhost.exe,0x85d72030,16,299,1,False,2017-12-08,20:04:30.000000,UTC,N/A,Disabled
1524,1004,taskeng.exe,0x85c3f058,5,79,0,False,2017-12-08,20:04:30.000000,UTC,N/A,Disabled
1564,932,dwm.exe,0x85da3d28,6,89,1,False,2017-12-08,20:04:30.000000,UTC,N/A,Disabled
1600,468,AlibabaProtect,0x85db4788,25,646,0,False,2017-12-08,20:04:30.000000,UTC,N/A,Disabled
1616,1548,explorer.exe,0x85dc2d28,25,685,1,False,2017-12-08,20:04:30.000000,UTC,N/A,Disabled
1652,468,BBSvc.EXE,0x85dcda08,6,80,0,False,2017-12-08,20:04:31.000000,UTC,N/A,Disabled
1720,468,OfficeClickToR,0x85dea328,20,486,0,False,2017-12-08,20:04:31.000000,UTC,N/A,Disabled
1836,468,svchost.exe,0x85e21d28,15,329,0,False,2017-12-08,20:04:31.000000,UTC,N/A,Disabled
1916,468,DictUpdater.ex,0x85e6b7f0,5,91,0,False,2017-12-08,20:04:31.000000,UTC,N/A,Disabled
284,468,svchost.exe,0x85e457a0,19,291,0,False,2017-12-08,20:04:32.000000,UTC,N/A,Disabled
388,468,FoxitConnected,0x85e07408,16,352,0,False,2017-12-08,20:04:32.000000,UTC,N/A,Disabled
300,1616,VBoxTray.exe,0x842e6a40,13,151,1,False,2017-12-08,20:04:32.000000,UTC,N/A,Disabled
736,1616,python.exe,0x842df758,0,-,1,False,2017-12-08,20:04:32.000000,UTC,2017-12-08,20:06:51.000000,UTC,Disabled
1000,384,conhost.exe,0x928a0268,0,-,1,False,2017-12-08,20:04:32.000000,UTC,2017-12-08,20:06:51.000000,UTC,Disabled
2284,592,WmiPrvSE.exe,0x85f97ae0,8,182,0,False,2017-12-08,20:04:34.000000,UTC,N/A,Disabled
2556,2528,GoogleCrashHan,0x85ff1900,5,73,0,False,2017-12-08,20:04:36.000000,UTC,N/A,Disabled
2728,468,svchost.exe,0x85fe1a18,5,91,0,False,2017-12-08,20:04:38.000000,UTC,N/A,Disabled
2852,468,SearchIndexer.,0x85ff5d28,14,571,0,False,2017-12-08,20:04:38.000000,UTC,N/A,Disabled
3020,468,wmpnetwk.exe,0x86030c98,10,207,0,False,2017-12-08,20:04:39.000000,UTC,N/A,Disabled
3088,2852,SearchProtocol,0x8604c370,7,312,0,False,2017-12-08,20:04:39.000000,UTC,N/A,Disabled
3108,2852,SearchFilterHo,0x8604fd28,4,86,0,False,2017-12-08,20:04:39.000000,UTC,N/A,Disabled
3496,736,iexplore.exe,0x86196558,23,578,1,False,2017-12-08,20:04:43.000000,UTC,N/A,Disabled
3592,3496,iexplore.exe,0x8512d858,52,985,1,False,2017-12-08,20:04:44.000000,UTC,N/A,Disabled
3768,736,FoxitReader.ex,0x861865f0,25,578,1,False,2017-12-08,20:04:45.000000,UTC,N/A,Disabled
3980,3964,YoukuDesktop.e,0x861fed28,93,857,1,False,2017-12-08,20:04:48.000000,UTC,N/A,Disabled
864,3980,ytbrowser.exe,0x8625ad28,29,570,1,False,2017-12-08,20:04:50.000000,UTC,N/A,Disabled
2564,736,et.exe,0x8625fd28,11,602,1,False,2017-12-08,20:04:50.000000,UTC,N/A,Disabled
3032,3768,FoxitReaderUpd,0x862b7900,0,-,1,False,2017-12-08,20:04:52.000000,UTC,2017-12-08,20:04:54.000000,UTC,Disabled
3396,864,ytbrowser.exe,0x8507cb00,23,273,1,False,2017-12-08,20:04:52.000000,UTC,N/A,Disabled
2508,3980,YoukuMediaCent,0x85bc7030,31,421,1,False,2017-12-08,20:04:53.000000,UTC,N/A,Disabled
3964,2508,ikuacc.exe,0x85fb52b8,27,214,1,False,2017-12-08,20:04:54.000000,UTC,N/A,Disabled
3388,736,Sense.exe,0x85bc9a40,6,140,1,False,2017-12-08,20:04:56.000000,UTC,N/A,Disabled
3408,3980,InstallOnline_,0x85bca520,0,-,1,False,2017-12-08,20:04:57.000000,UTC,2017-12-08,20:04:58.000000,UTC,Disabled
4320,2508,ikuacc.exe,0x86151488,0,-,1,False,2017-12-08,20:05:00.000000,UTC,2017-12-08,20:05:00.000000,UTC,Disabled
4472,736,mspaint.exe,0x8504f030,8,173,1,False,2017-12-08,20:05:02.000000,UTC,N/A,Disabled
