Volatility,3,Framework,2.9.0
Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0x3d430d30,TCPv4,0.0.0.0,49156,0.0.0.0,0,LISTENING,468,services.exe,N/A
0x3d88c248,TCPv4,127.0.0.1,44430,127.0.0.1,49415,ESTABLISHED,-,-,-
0x3d8d66d8,TCPv4,10.0.2.15,49597,66.102.255.32,443,ESTABLISHED,-,-,-
0x3da97658,TCPv4,10.0.2.15,49341,222.161.225.233,80,CLOSE_WAIT,-,-,-
0x3dc4aba0,UDPv4,0.0.0.0,0,*,0,2380,svchost.exe,2017-12-08,21:12:37.000000,UTC
0x3dc4aba0,UDPv6,::,0,*,0,2380,svchost.exe,2017-12-08,21:12:37.000000,UTC
0x3dc62b60,TCPv4,0.0.0.0,5357,0.0.0.0,0,LISTENING,4,System,N/A
0x3dc62b60,TCPv6,::,5357,::,0,LISTENING,4,System,N/A
0x3dc643c0,UDPv4,0.0.0.0,55304,*,0,2008,svchost.exe,2017-12-08,21:12:33.000000,UTC
0x3dc643c0,UDPv6,::,55304,*,0,2008,svchost.exe,2017-12-08,21:12:33.000000,UTC
0x3dc65d50,UDPv4,0.0.0.0,5355,*,0,1164,svchost.exe,2017-12-08,21:12:39.000000,UTC
0x3dc721b8,UDPv4,0.0.0.0,0,*,0,1164,svchost.exe,2017-12-08,21:12:35.000000,UTC
0x3dc721b8,UDPv6,::,0,*,0,1164,svchost.exe,2017-12-08,21:12:35.000000,UTC
0x3dc93120,UDPv4,0.0.0.0,0,*,0,2380,svchost.exe,2017-12-08,21:12:37.000000,UTC
0x3dca0878,TCPv4,10.0.2.15,49469,157.22.19.177,80,CLOSE_WAIT,-,-,-
0x3dca8f58,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,N/A
0x3dca8f58,TCPv6,::,445,::,0,LISTENING,4,System,N/A
0x3dcbc2b0,TCPv4,0.0.0.0,49159,0.0.0.0,0,LISTENING,484,lsass.exe,N/A
0x3dcbc2b0,TCPv6,::,49159,::,0,LISTENING,484,lsass.exe,N/A
0x3ddeb610,TCPv4,0.0.0.0,49156,0.0.0.0,0,LISTENING,468,services.exe,N/A
0x3ddeb610,TCPv6,::,49156,::,0,LISTENING,468,services.exe,N/A
0x3ddf50d0,UDPv4,0.0.0.0,3702,*,0,2008,svchost.exe,2017-12-08,21:12:38.000000,UTC
0x3de247b8,TCPv4,0.0.0.0,49159,0.0.0.0,0,LISTENING,484,lsass.exe,N/A
0x3de2cc78,UDPv4,0.0.0.0,5353,*,0,848,chrome.exe,2017-12-08,21:13:07.000000,UTC
0x3de2e538,TCPv4,127.0.0.1,49530,127.0.0.1,8908,ESTABLISHED,-,-,-
0x3de73ad8,UDPv4,0.0.0.0,3702,*,0,2008,svchost.exe,2017-12-08,21:12:38.000000,UTC
0x3de73c48,UDPv4,0.0.0.0,3702,*,0,2008,svchost.exe,2017-12-08,21:12:38.000000,UTC
0x3de73c48,UDPv6,::,3702,*,0,2008,svchost.exe,2017-12-08,21:12:38.000000,UTC
0x3de7bbf8,UDPv4,0.0.0.0,5355,*,0,1164,svchost.exe,2017-12-08,21:12:39.000000,UTC
0x3de7bbf8,UDPv6,::,5355,*,0,1164,svchost.exe,2017-12-08,21:12:39.000000,UTC
0x3de7d828,TCPv4,10.0.2.15,49412,34.237.31.60,443,CLOSE_WAIT,-,-,-
0x3de7ede8,TCPv4,10.0.2.15,49474,198.11.132.53,80,CLOSE_WAIT,-,-,-
0x3deb7840,TCPv4,0.0.0.0,6691,0.0.0.0,0,LISTENING,1524,AlibabaProtect,N/A
0x3df20cd8,TCPv4,10.0.2.15,49418,222.161.225.233,80,CLOSE_WAIT,-,-,-
0x3dffdae8,TCPv4,10.0.2.15,49438,198.11.132.53,80,CLOSE_WAIT,-,-,-
0x3e01f290,TCPv4,127.0.0.1,49422,127.0.0.1,49421,ESTABLISHED,-,-,-
0x3e02bda0,TCPv4,10.0.2.15,49606,119.167.164.115,80,SYN_SENT,-,-,-
0x3e067988,TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,884,svchost.exe,N/A
0x3e067988,TCPv6,::,49153,::,0,LISTENING,884,svchost.exe,N/A
0x3e089de8,TCPv4,10.0.2.15,49596,66.102.255.32,443,ESTABLISHED,-,-,-
0x3e111ee8,UDPv4,0.0.0.0,5353,*,0,848,chrome.exe,2017-12-08,21:13:07.000000,UTC
0x3e111ee8,UDPv6,::,5353,*,0,848,chrome.exe,2017-12-08,21:13:07.000000,UTC
0x3e12a148,TCPv4,0.0.0.0,49154,0.0.0.0,0,LISTENING,1012,svchost.exe,N/A
0x3e12a148,TCPv6,::,49154,::,0,LISTENING,1012,svchost.exe,N/A
0x3e12dea0,TCPv4,0.0.0.0,49154,0.0.0.0,0,LISTENING,1012,svchost.exe,N/A
0x3e1f9878,UDPv6,fe80::a591:79e9:d953:3fcb,1900,*,0,2008,svchost.exe,2017-12-08,21:12:38.000000,UTC
0x3e1f99e8,UDPv4,127.0.0.1,53289,*,0,2008,svchost.exe,2017-12-08,21:12:38.000000,UTC
0x3e1f9e38,UDPv4,10.0.2.15,53288,*,0,2008,svchost.exe,2017-12-08,21:12:38.000000,UTC
0x3e1fe598,UDPv4,127.0.0.1,1900,*,0,2008,svchost.exe,2017-12-08,21:12:38.000000,UTC
0x3e1fe9e8,UDPv4,10.0.2.15,1900,*,0,2008,svchost.exe,2017-12-08,21:12:38.000000,UTC
0x3e1fee38,UDPv6,::1,1900,*,0,2008,svchost.exe,2017-12-08,21:12:38.000000,UTC
0x3e240dc0,TCPv4,127.0.0.1,8908,127.0.0.1,49530,ESTABLISHED,-,-,-
0x3e261de8,TCPv4,127.0.0.1,49421,127.0.0.1,49422,ESTABLISHED,-,-,-
0x3e266240,UDPv6,::1,53287,*,0,2008,svchost.exe,2017-12-08,21:12:38.000000,UTC
0x3e267200,UDPv6,fe80::a591:79e9:d953:3fcb,53286,*,0,2008,svchost.exe,2017-12-08,21:12:38.000000,UTC
0x3e270610,TCPv4,127.0.0.1,49415,127.0.0.1,44430,ESTABLISHED,-,-,-
0x3e2cc728,UDPv4,0.0.0.0,3702,*,0,2008,svchost.exe,2017-12-08,21:12:38.000000,UTC
0x3e2cc728,UDPv6,::,3702,*,0,2008,svchost.exe,2017-12-08,21:12:38.000000,UTC
0x3e2eb5b8,UDPv4,0.0.0.0,55303,*,0,2008,svchost.exe,2017-12-08,21:12:33.000000,UTC
0x3e75dab8,TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,884,svchost.exe,N/A
0x3e7aa188,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,708,svchost.exe,N/A
0x3e7d57f8,TCPv4,10.0.2.15,139,0.0.0.0,0,LISTENING,4,System,N/A
0x3e7d6c88,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,708,svchost.exe,N/A
0x3e7d6c88,TCPv6,::,135,::,0,LISTENING,708,svchost.exe,N/A
0x3e7dc870,TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,376,wininit.exe,N/A
0x3e7dcc58,TCPv4,0.0.0.0,49152,0.0.0.0,0,LISTENING,376,wininit.exe,N/A
0x3e7dcc58,TCPv6,::,49152,::,0,LISTENING,376,wininit.exe,N/A
0x3e836308,UDPv4,0.0.0.0,4466,*,0,5152,ikuacc.exe,2017-12-08,21:14:37.000000,UTC
0x3e9a2008,TCPv4,10.0.2.15,49594,66.102.255.50,443,ESTABLISHED,-,-,-
0x3e9e9bd0,TCPv4,10.0.2.15,49331,52.85.87.135,80,ESTABLISHED,-,-,-
0x3ea683d0,TCPv4,10.0.2.15,49502,47.88.68.21,80,CLOSE_WAIT,-,-,-
0x3ea68690,TCPv4,127.0.0.1,8088,0.0.0.0,0,LISTENING,5392,ytbrowser.exe,N/A
0x3ea98798,TCPv4,127.0.0.1,44430,0.0.0.0,0,LISTENING,2044,FoxitConnected,N/A
0x3eb42658,UDPv4,10.0.2.15,137,*,0,4,System,2017-12-08,21:12:35.000000,UTC
0x3ec52de8,TCPv4,10.0.2.15,49342,72.21.91.29,80,ESTABLISHED,-,-,-
0x3ec62008,TCPv4,10.0.2.15,49611,66.102.255.60,443,CLOSED,-,-,-
0x3ec67708,TCPv4,10.0.2.15,49483,34.204.26.117,443,ESTABLISHED,-,-,-
0x3ec6b008,TCPv4,10.0.2.15,49609,66.102.255.60,443,ESTABLISHED,-,-,-
0x3ec7cde8,TCPv4,10.0.2.15,49374,46.105.202.39,443,FIN_WAIT2,-,-,-
0x3eca3de8,TCPv4,10.0.2.15,49423,120.92.96.2,5222,ESTABLISHED,-,-,-
0x3eca5b00,TCPv4,10.0.2.15,49599,222.161.225.233,80,ESTABLISHED,-,-,-
0x3ed3f4d8,TCPv4,10.0.2.15,49339,72.21.91.29,80,ESTABLISHED,-,-,-
0x3ef347c8,TCPv4,10.0.2.15,49598,103.43.210.226,80,CLOSED,-,-,N/A
0x3efc1af8,UDPv4,10.0.2.15,138,*,0,4,System,2017-12-08,21:12:35.000000,UTC
0x3f0211f8,TCPv4,10.0.2.15,49610,66.102.255.60,443,CLOSED,-,-,-
0x3f402ac0,TCPv4,10.0.2.15,49528,205.204.101.47,443,CLOSE_WAIT,-,-,-
0x3f408220,TCPv4,10.0.2.15,49614,103.43.210.254,80,SYN_SENT,-,-,-
0x3f4546e0,TCPv4,0.0.0.0,843,0.0.0.0,0,LISTENING,5152,ikuacc.exe,N/A
0x3f49fde8,TCPv4,10.0.2.15,49509,47.88.68.21,80,CLOSE_WAIT,-,-,-
0x3f4a1888,TCPv4,0.0.0.0,4466,0.0.0.0,0,LISTENING,5152,ikuacc.exe,N/A
0x3f4f0a68,TCPv4,127.0.0.1,62078,0.0.0.0,0,LISTENING,6028,YoukuMediaCent,N/A
0x3f4fb008,TCPv4,10.0.2.15,49575,140.205.250.50,80,ESTABLISHED,-,-,-
0x3f504340,TCPv4,10.0.2.15,49440,198.11.132.53,80,CLOSE_WAIT,-,-,-
0x3f50a068,TCPv4,127.0.0.1,61078,0.0.0.0,0,LISTENING,6028,YoukuMediaCent,N/A
0x3f517ac0,TCPv4,10.0.2.15,49468,157.22.19.177,80,CLOSE_WAIT,-,-,-
0x3f5786d0,TCPv4,10.0.2.15,49612,47.92.21.5,80,CLOSED,-,-,-
0x3f6cf008,TCPv4,10.0.2.15,49550,66.102.255.60,443,ESTABLISHED,-,-,-
0x3f6d6de8,TCPv4,10.0.2.15,49551,66.102.255.60,443,ESTABLISHED,-,-,-
0x3feb7900,TCPv4,10.0.2.15,49605,222.161.225.233,80,ESTABLISHED,-,-,-
0x3febd5e0,TCPv4,0.0.0.0,8908,0.0.0.0,0,LISTENING,5152,ikuacc.exe,N/A
0x3fed6d40,UDPv4,0.0.0.0,8908,*,0,5152,ikuacc.exe,2017-12-08,21:14:37.000000,UTC
0x3ff06950,TCPv4,10.0.2.15,49608,66.102.255.50,443,ESTABLISHED,-,-,-
0x3ff55500,TCPv4,10.0.2.15,49552,66.102.255.35,443,ESTABLISHED,-,-,-
0x3ff61de8,TCPv4,127.0.0.1,49558,127.0.0.1,6691,CLOSED,-,-,-
0x3ffdcde8,TCPv4,10.0.2.15,49405,52.109.76.30,443,ESTABLISHED,-,-,-
