Volatility,3,Framework,2.9.0
PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File,output
4,0,System,0x673ad8,74,609,N/A,False,2017-12-08,21:12:22.000000,UTC,N/A,Disabled
936,468,svchost.exe,0x23c7c030,16,322,0,False,2017-12-08,21:12:29.000000,UTC,N/A,Disabled
2008,468,svchost.exe,0x240136e0,14,221,0,False,2017-12-08,21:12:32.000000,UTC,N/A,Disabled
1804,1012,taskeng.exe,0x24b703f0,6,81,0,False,2017-12-08,21:12:33.000000,UTC,N/A,Disabled
848,324,chrome.exe,0x3d8ca200,41,1281,1,False,2017-12-08,21:13:05.000000,UTC,N/A,Disabled
3932,324,Athan.exe,0x3d8d6a10,13,329,1,False,2017-12-08,21:12:54.000000,UTC,N/A,Disabled
3860,324,maltego.exe,0x3d8d8108,0,100,1,False,2017-12-08,21:13:59.000000,UTC,2017-12-08,21:15:10.000000,UTC,Disabled
3116,848,chrome.exe,0x3d8db548,14,178,1,False,2017-12-08,21:13:07.000000,UTC,N/A,Disabled
2380,468,svchost.exe,0x3dbb2640,5,91,0,False,2017-12-08,21:12:35.000000,UTC,N/A,Disabled
2208,592,WmiPrvSE.exe,0x3dca3930,9,209,0,False,2017-12-08,21:12:34.000000,UTC,N/A,Disabled
1564,848,chrome.exe,0x3de1a030,8,111,1,False,2017-12-08,21:13:05.000000,UTC,N/A,Disabled
5968,468,svchost.exe,0x3de4ab60,5,43,0,False,2017-12-08,21:13:54.000000,UTC,N/A,Disabled
3088,468,wmpnetwk.exe,0x3df3a890,10,206,0,False,2017-12-08,21:12:40.000000,UTC,N/A,Disabled
3252,2952,SearchProtocol,0x3df3dd28,9,295,0,False,2017-12-08,21:12:41.000000,UTC,N/A,Disabled
3400,324,Lingoes.exe,0x3df9a728,14,309,1,False,2017-12-08,21:12:45.000000,UTC,N/A,Disabled
1568,468,BBSvc.EXE,0x3e03c420,6,80,0,False,2017-12-08,21:12:31.000000,UTC,N/A,Disabled
2440,848,chrome.exe,0x3e04acb8,3,58,1,False,2017-12-08,21:13:06.000000,UTC,N/A,Disabled
1012,468,svchost.exe,0x3e06a9c0,35,970,0,False,2017-12-08,21:12:30.000000,UTC,N/A,Disabled
3272,2952,SearchFilterHo,0x3e0747a8,5,85,0,False,2017-12-08,21:12:41.000000,UTC,N/A,Disabled
